Sektor Kodu,Sektor Adı,Endeks Kolonu
XAKUR,ARACI KURUM,BIST ARACI KURUM
XBANK,BANKA,BIST BANKA
XELKT,ELEKTRİK,BIST ELEKTRİK
XFINK,FİNANSAL KİR. FAKTORİNG,BIST FİN. KİR. FAKTORİNG
XGIDA,GIDA, İÇECEK,BIST GIDA, İÇECEK
XGMYO,GAYRİMENKUL YATIRIM ORT.,BIST GAYRİMENKUL YAT. ORT.
XHOLD,HOLDİNG VE YATIRIM,BIST HOLDİNG VE YATIRIM
XILTM,İLETİŞİM,BIST İLETİŞİM
XINSA,İNŞAAT,BIST İNŞAAT
XKAGT,ORMAN, KAĞIT, BASIM,BIST ORMAN, KAĞIT, BASIM
XKMYA,KİMYA, PETROL, PLASTİK,BIST KİMYA, PETROL, PLASTİK
XMADN,MADENCİLİK,BIST MADENCİLİK
XMANA,METAL ANA SANAYİ,BIST METAL ANA
XMESY,METAL EŞYA, MAKİNA,BIST METAL EŞYA, MAKİNA
XSGRT,SİGORTA,BIST SİGORTA
XSPOR,SPOR,BIST SPOR
XTAST,TAŞ, TOPRAK,BIST TAŞ, TOPRAK
XTCRT,TİCARET,BIST TİCARET
XTEKS,TEKSTİL, DERİ,BIST TEKSTİL, DERİ
XTRZM,TURİZM,BIST TURİZM
XUHIZ,HİZMETLER,BIST HİZMETLER
XULAS,ULAŞTIRMA,BIST ULAŞTIRMA
XUTEK,TEKNOLOJİ,BIST TEKNOLOJİ
XYORT,MENKUL KIYM. YAT. ORT.,BIST MENKUL KIYM Y.O.
